id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1623328258883289089,1623328258883289089,2023-02-08 08:29:51 Central Standard Time,2023-02-08,08:29:51,-0600,916214003424268293,needles_x,Manix Bcg,,👋🏻 Dead Rabbit 3 RDA Fibre de carbone by @hellvapesales  🔥 . #deadrabbit3rdacarbon #deadrabbit3rda #hellvapefrance #hellvapefamily #hellvapedeadrabbitv3rda #deadrabbit3rda #vapephotography #hellvape #instantvape #vapebest #frenchvaper #normandyvape #vapecommunity #manixbcg  https://t.co/KUAl3PKSdW,en,"[{'screen_name': 'hellvapesales', 'name': 'officialhellvape', 'id': '758218493376417792'}]",[],['https://pbs.twimg.com/media/Foc4MEVWcAEguPD.png'],0,0,1,"['deadrabbit3rdacarbon', 'deadrabbit3rda', 'hellvapefrance', 'hellvapefamily', 'hellvapedeadrabbitv3rda', 'deadrabbit3rda', 'vapephotography', 'hellvape', 'instantvape', 'vapebest', 'frenchvaper', 'normandyvape', 'vapecommunity', 'manixbcg']",[],https://twitter.com/needles_x/status/1623328258883289089,False,,1,https://pbs.twimg.com/media/Foc4MEVWcAEguPD.png,,,,,,,[],,,,
1623285113252622337,1623285113252622337,2023-02-08 05:38:24 Central Standard Time,2023-02-08,05:38:24,-0600,942695183602171905,kapoklog_logist,"Kapoklog Logistics co, Ltd.",,"#vape #podmod #vaping #vapecommunity #vapelife #vapinglover #vapelifestyle #vapephotography ⁣⁣#vapephoto #vapepics ⁣⁣#alldayvape #vapegood #vapingislife#vapewholesale #disposablevape #vapeusa #Vape #vapeshop kapoklog   Logistics Co., Ltd.  沙特双清包税到门双清DDP",zh,[],[],[],0,0,0,"['vape', 'podmod', 'vaping', 'vapecommunity', 'vapelife', 'vapinglover', 'vapelifestyle', 'vapephotography', 'vapephoto', 'vapepics', 'alldayvape', 'vapegood', 'disposablevape', 'vapeusa', 'vape', 'vapeshop']",[],https://twitter.com/Kapoklog_Logist/status/1623285113252622337,False,,0,,,,,,,,[],,,,
1623151711207718912,1623151711207718912,2023-02-07 20:48:19 Central Standard Time,2023-02-07,20:48:19,-0600,1564433163417333760,fiona64795892,Fiona,,Advanced level of vape flavor for a truly creative experience! 🖤  #pureinvoke #vapeallday #vapejuice #vapor #vapegirls #vapehard #vapephotography #vapeaddict #vapeuk #vapeindonesia #ecig #vapeclouds #cloudchaser #vapestyle #vapeindo #vapesafe #subohm #ukvapers #vapelikeaboss  https://t.co/tylnHGu2Qp,en,[],[],['https://pbs.twimg.com/media/FoaX3uqaYAA8k5X.png'],0,1,0,"['pureinvoke', 'vapeallday', 'vapejuice', 'vapor', 'vapegirls', 'vapehard', 'vapephotography', 'vapeaddict', 'vapeuk', 'vapeindonesia', 'ecig', 'vapeclouds', 'cloudchaser', 'vapestyle', 'vapeindo', 'vapesafe', 'subohm', 'ukvapers', 'vapelikeaboss']",[],https://twitter.com/Fiona64795892/status/1623151711207718912,False,,1,https://pbs.twimg.com/media/FoaX3uqaYAA8k5X.png,,,,,,,[],,,,
1623148191616217095,1623148191616217095,2023-02-07 20:34:20 Central Standard Time,2023-02-07,20:34:20,-0600,1376369737479819267,myvapereview,myvapereview,,Check Out the Best Starter-Level Vapes to Quit Smoking in 2023🤓  👉 https://t.co/6IfgXip6hd  #bestvapes #bestbeginnervapes #vape #vaping #vapecommunity #vapelife #vapinglover #vapelifestyle #vapephotography ⁣⁣#vapephoto #vapepics ⁣⁣#alldayvape #vapegood #vapingislife  https://t.co/ocnDOXraiz,en,[],['https://myvapereview.com/best-vapes/best-vape-to-quit-smoking/'],['https://pbs.twimg.com/media/FoaUrJDaYAA40QX.jpg'],0,0,0,"['bestvapes', 'bestbeginnervapes', 'vape', 'vaping', 'vapecommunity', 'vapelife', 'vapinglover', 'vapelifestyle', 'vapephotography', 'vapephoto', 'vapepics', 'alldayvape', 'vapegood', 'vapingislife']",[],https://twitter.com/myvapereview/status/1623148191616217095,False,,1,https://pbs.twimg.com/media/FoaUrJDaYAA40QX.jpg,,,,,,,[],,,,
1622971756783828994,1622971756783828994,2023-02-07 08:53:14 Central Standard Time,2023-02-07,08:53:14,-0600,916214003424268293,needles_x,Manix Bcg,,"Bonjour 👋🏻 C'est le E-liquide ""La Gariguette"" de chez @FlavorHit . . Saveur: Fraise Gariguette/ Pointe de frais. . #flavorhitejuice #flavorhit #eliquidefrançais #eliquidefrance #eliquidefr #vapeliquid #madeinfrance #vapephotography #frenchvaper #normandyvapee #manixbcg  https://t.co/pgLO7HCE8Y",fr,"[{'screen_name': 'flavorhit', 'name': 'flavor hit', 'id': '1280420727863287808'}]",[],['https://pbs.twimg.com/media/FoXz6agWcAEbhpn.png'],0,0,0,"['flavorhitejuice', 'flavorhit', 'eliquidefrançais', 'eliquidefrance', 'eliquidefr', 'vapeliquid', 'madeinfrance', 'vapephotography', 'frenchvaper', 'normandyvapee', 'manixbcg']",[],https://twitter.com/needles_x/status/1622971756783828994,False,,1,https://pbs.twimg.com/media/FoXz6agWcAEbhpn.png,,,,,,,[],,,,
1622893619580661761,1622893619580661761,2023-02-07 03:42:45 Central Standard Time,2023-02-07,03:42:45,-0600,1376369737479819267,myvapereview,myvapereview,,$23.99 for SMOK RPM 4 Pod Mod Kit 60W 1650mAh😎  👉 https://t.co/SsaXqBfsDD  #smok #smokrpm4 #vapecoupons #vapedeal #vape #podmod #vaping #vapecommunity #vapelife #vapinglover #vapelifestyle #vapephotography ⁣⁣#vapephoto #vapepics ⁣⁣#alldayvape #vapegood #vapingislife  https://t.co/dv0N1EbaOj,in,[],['https://myvapereview.com/vape-deals/2023/01/30/smok-rpm-4-pod-mod-kit/'],['https://pbs.twimg.com/media/FoWtJBdaQAE8JnC.jpg'],0,0,1,"['smok', 'smokrpm4', 'vapecoupons', 'vapedeal', 'vape', 'podmod', 'vaping', 'vapecommunity', 'vapelife', 'vapinglover', 'vapelifestyle', 'vapephotography', 'vapephoto', 'vapepics', 'alldayvape', 'vapegood', 'vapingislife']",[],https://twitter.com/myvapereview/status/1622893619580661761,False,,1,https://pbs.twimg.com/media/FoWtJBdaQAE8JnC.jpg,,,,,,,[],,,,
1622778845903585281,1622778845903585281,2023-02-06 20:06:41 Central Standard Time,2023-02-06,20:06:41,-0600,1376369737479819267,myvapereview,myvapereview,,✨Best Vape Gifts for Valentine’s Day✨  👉 https://t.co/1TL7H10QXG  #valentineday #valentinedaysale #gift #bestgift #vapegift #vapelover #vaping #vapecommunity #vapelife #vapelifestyle #vapephotography ⁣⁣#vapephoto #vapepics ⁣⁣#alldayvape #vapegood #vapingislife  https://t.co/rYFdewhtw2,en,[],['https://myvapereview.com/best-vapes/best-vape-gifts/'],['https://pbs.twimg.com/media/FoVEwJ9aIAAMlYg.jpg'],0,0,1,"['valentineday', 'valentinedaysale', 'gift', 'bestgift', 'vapegift', 'vapelover', 'vaping', 'vapecommunity', 'vapelife', 'vapelifestyle', 'vapephotography', 'vapephoto', 'vapepics', 'alldayvape', 'vapegood', 'vapingislife']",[],https://twitter.com/myvapereview/status/1622778845903585281,False,,1,https://pbs.twimg.com/media/FoVEwJ9aIAAMlYg.jpg,,,,,,,[],,,,
1622419208821932038,1622419208821932038,2023-02-05 20:17:37 Central Standard Time,2023-02-05,20:17:37,-0600,1376369737479819267,myvapereview,myvapereview,,Check Out Best Sub Ohm Tanks for 2023🤠  👉 https://t.co/ccNxjB2UiH  #bestvape #bestvapetanks #subohmtanks #bestsubohmtank #vape #vaping #vapecommunity #vapelife #vapinglover #vapelifestyle #vapephotography ⁣⁣#vapephoto #vapepics ⁣⁣#alldayvape #vapegood #vapingislife  https://t.co/Gq0nkEF2m0,en,[],['https://myvapereview.com/best-vapes/best-sub-ohm-tanks-2022/'],['https://pbs.twimg.com/media/FoP9qYeaAAIodNB.jpg'],0,1,2,"['bestvape', 'bestvapetanks', 'subohmtanks', 'bestsubohmtank', 'vape', 'vaping', 'vapecommunity', 'vapelife', 'vapinglover', 'vapelifestyle', 'vapephotography', 'vapephoto', 'vapepics', 'alldayvape', 'vapegood', 'vapingislife']",[],https://twitter.com/myvapereview/status/1622419208821932038,False,,1,https://pbs.twimg.com/media/FoP9qYeaAAIodNB.jpg,,,,,,,[],,,,
1622313445977620482,1622313445977620482,2023-02-05 13:17:21 Central Standard Time,2023-02-05,13:17:21,-0600,916214003424268293,needles_x,Manix Bcg,,Bonsoir 👋🏻 C'est le Pod Xlim de chez @OXVAOfficial  💥 .  #oxva #oxvaxlim #xlim #oxvapromoter #oxvaactivity #pod #instantvape #frenchvaper #normandyvape #vapephotography #podsytem #oxvapod #vapeshoponline #societyofvape #vapehooligan #manixbcg  https://t.co/ym8MYwCqMc,fr,"[{'screen_name': 'oxvaofficial', 'name': 'oxva', 'id': '1199956296193077249'}]",[],['https://pbs.twimg.com/media/FoOdHjRWYAEmUQ8.png'],0,0,0,"['oxva', 'oxvaxlim', 'xlim', 'oxvapromoter', 'oxvaactivity', 'pod', 'instantvape', 'frenchvaper', 'normandyvape', 'vapephotography', 'podsytem', 'oxvapod', 'vapeshoponline', 'societyofvape', 'vapehooligan', 'manixbcg']",[],https://twitter.com/needles_x/status/1622313445977620482,False,,1,https://pbs.twimg.com/media/FoOdHjRWYAEmUQ8.png,,,,,,,[],,,,
1622126375338446849,1622126375338446849,2023-02-05 00:54:00 Central Standard Time,2023-02-05,00:54:00,-0600,1376369737479819267,myvapereview,myvapereview,,£3.99 for Lost Mary QM600 Disposable😎  👉 https://t.co/LlTpyiT8SK  #lostmarry #lostmarryqm600 #vapecoupons #vapedeal #vape #diposablevape #disposablevapedeal #vaping #vapecommunity #vapelife #vapinglover #vapelifestyle #vapephotography ⁣⁣#vapephoto #vapepics ⁣⁣#alldayvape  https://t.co/AbIEvsVVnP,en,[],['https://myvapereview.com/vape-deals/2023/01/11/lost-mary-qm600-disposable/'],['https://pbs.twimg.com/media/FoCJbT6acAEy-u1.png'],0,0,1,"['lostmarry', 'lostmarryqm600', 'vapecoupons', 'vapedeal', 'vape', 'diposablevape', 'disposablevapedeal', 'vaping', 'vapecommunity', 'vapelife', 'vapinglover', 'vapelifestyle', 'vapephotography', 'vapephoto', 'vapepics', 'alldayvape']",[],https://twitter.com/myvapereview/status/1622126375338446849,False,,1,https://pbs.twimg.com/media/FoCJbT6acAEy-u1.png,,,,,,,[],,,,
