,Document,Topic,Name,Top_n_words,Probability,Representative_document
1,las tabacaleras trabajan a full para desprestigiar y desinformar sobre el vapeo y gente ignorante da opiniones estpidas,0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,0.880144157,FALSE
4,"vapeo desde el y veo muchas publicaciones de que le vape es malo y peor que le cigarro, es verdad es mucho ms adictivo y ms sencillo de utilizar en cualquier lado (no como el cigarro) pero todas esas publicaciones de que se hospitalizan pt1.",0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,1,FALSE
5,"los peligros del cigarillo electrnico / vapeo. nada es inocuo, y en especial inhalar humo a alta temperatura con sustancias txicas. fumar no es saludable.",0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,1,FALSE
6,"se fueron en vola contra el vapo, andan muy aburridos? o cul es el plan? que los que empezamos a vapear volvamos a fumar? #ispcagandovidas",0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,0.877812796,FALSE
7,la representante de la carolina giraldo asegur que a pesar de contar con el apoyo del sorpresivamente los dej plantados con la votacin para gravar los vapeadores y aumentar el impuesto al tabaco. impuestos saludables?,0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,0.808532075,FALSE
9,rt : el gobierno opt por no gravar los cigarrillos electrnicos y vapeadores ni aumentar el impuesto al tabaco. impuestos,0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,1,FALSE
10,rt : pilas con los vapeadores! estn en tendencia en los jvenes. esta mujer afect su salud por cigarrillos electrnicos. 's,0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,0.799306341,FALSE
12,rt : publica un reportaje sobre los beneficios que tienen alternativas como el #vapeo para dejar de fumar.,0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,0.909653141,FALSE
17,"mentiras y ms mentiras, los vapeadores ayudan a que dejemos de fumar y son menos dainos, esta cuenta est desmintiendo ese tweet, creamos esto, los venera ayudan",0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,0.745201507,FALSE
18,"rt : pilas de litio y plsticos, tirados por la calle igual que las #colillas de #tabaco irlanda prohibir los vapeadores #eci",0,0_tabaco_fumar_rt_vapear,tabaco - fumar - rt - vapear - vapeadores - vapeo - nicotina - dejar - cigarrillos - ms,0.789768302,FALSE
