state,country
NA,LKA
Alabama,USA
NA,JPN
NA,CAN
Stockholm,SWE
Saskatchewan,CAN
NA,QAT
Seoul,KOR
New York,USA
Madrid,ESP
England,GBR
NA,GBR
Veracruz,MEX
Latium,ITA
NA,NIC
NA,USA
Indiana,USA
Illinois,USA
Wellington,NZL
Wellington,NZL
Acre,BRA
NA,USA
England,GBR
NA,QAT
Nova Scotia,CAN
New South Wales,AUS
NA,AUS
England,GBR
Wisconsin,USA
Wyoming,USA
California,USA
NA,GBR
NA,IOT
NA,GBR
Pennsylvania,USA
Atlántico,COL
Texas,USA
Texas,USA
Washington,USA
NA,GRC
Illinois,USA
England,GBR
New Mexico,USA
Florida,USA
NA,GBR
Oregon,USA
NA,FRA
Pennsylvania,USA
Pennsylvania,USA
Alaska,USA
NA,NA
New York,USA
Maranhão,BRA
NA,USA
Quebec,CAN
NA,GBR
California,USA
Colorado,USA
Nova Scotia,CAN
Cienfuegos,CUB
Texas,USA
Nebraska,USA
New South Wales,AUS
NA,DEU
England,GBR
Campania,ITA
Auckland,NZL
NA,GUM
Kansas,USA
Hauts-de-France,FRA
England,GBR
Magallanes,CHL
NA,POL
Odessa,UKR
Sverdlovsk,RUS
Wales,GBR
Sancti Spíritus,CUB
Oklahoma,USA
Santa Fe Province,ARG
NA,TCD
Arkansas,USA
Tokyo,JPN
NA,NZL
Hawaii,USA
Catalonia,ESP
Colorado,USA
Massachusetts,USA
NA,GBR
England,GBR
New York,USA
NA,AUS
Wyoming,USA
England,GBR
Ontario,CAN
Gujarat,IND
Gujarat,IND
Wakayama,JPN
Vermont,USA
Oregon,USA
Indiana,USA
Michigan,USA
California,USA
Louisiana,USA
Mayaguez,PRI
NA,ZAF
Louisiana,USA
England,GBR
California,USA
Wyoming,USA
New South Wales,AUS
NA,BGD
Wyoming,USA
Bangkok,THA
NA,MEX
NA,MEX
Texas,USA
England,GBR
Alabama,USA
Santa Fe Province,ARG
Pennsylvania,USA
Delaware,USA
Wyoming,USA
Castille and León,ESP
Indiana,USA
New York,USA
Wisconsin,USA
Illinois,USA
England,GBR
NA,TUR
Louisiana,USA
Wyoming,USA
Tennessee,USA
Virginia,USA
Texas,USA
NA,QAT
NA,CAN
NA,QAT
South Carolina,USA
NA,GEO
NA,GEO
New South Wales,AUS
England,GBR
Texas,USA
Illinois,USA
NA,IRN
Massachusetts,USA
Indiana,USA
Connecticut,USA
Tennessee,USA
Arizona,USA
NA,VEN
Guangxi Zhuang Autonomous Region,CHN
Lesser Poland Voivodeship,POL
NA,AUS
NA,CHL
Yamagata,JPN
Michigan,USA
New York,USA
North Karelia,FIN
NA,CHE
NA,JEY
Texas,USA
Washington,USA
Texas,USA
Illinois,USA
Cajamarca,PER
Piura,PER
Pennsylvania,USA
Newfoundland and Labrador,CAN
Alabama,USA
NA,JPN
NA,ESP
NA,GEO
Maryland,USA
NA,VEN
NA,JPN
Arizona,USA
Santa Fe Province,ARG
NA,URY
NA,SLV
Dubai,ARE
Castille-La Mancha,ESP
NA,TUN
NA,VCT
Texas,USA
NA,AUS
New York,USA
Telangana,IND
Punjab,PAK
Uttarakhand,IND
California,USA
Atlántico,COL
NA,VEN
Oregon,USA
Queensland,AUS
Sistan and Baluchestan,IRN
NA,GBR
NA,VEN
Quebec,CAN
Indiana,USA
Wallonia,BEL
Louisiana,USA
Illinois,USA
Texas,USA
Languedoc-Roussillon-Midi-Pyrénées,FRA
Western Australia,AUS
Atlántico,COL
NA,VEN
Minnesota,USA
New York,USA
NA,QAT
Île-de-France,FRA
NA,URY
NA,GHA
Utah,USA
Iowa,USA
Washington,USA
Ontario,CAN
NA,CAN
Iowa,USA
England,GBR
NA,KOR
Wyoming,USA
New York,USA
Scotland,GBR
NA,USA
NA,GBR
NA,GBR
Wyoming,USA
Loja,ECU
Campania,ITA
Tokyo,JPN
Auvergne-Rhône-Alpes,FRA
Asturias,ESP
Ontario,CAN
Minas Gerais,BRA
NA,IDN
Florida,USA
New York,USA
Kabul,AFG
NA,AFG
Ohio,USA
Illinois,USA
California,USA
California,USA
NA,MEX
New Mexico,USA
Dubai,ARE
