,Document,Topic,Name,Top_n_words,Probability,Representative_document
1,just went live! come watch the thiccdude play games. #supportsmallstreamers #supportsmallstreams #pcmaster #goldenvoice #handsomeaf #twitch #twitchstreamer #twitchaffiliate #vapenation,0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,1,FALSE
3,new vape awards giveaway now live! - enter now for a chance to win prizes from - - - voopoo - - - #ecigclick #vapeawards #vapegiveaway #vapefam #eliquid #vapelyfe #giveaway,0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,0.955976369,FALSE
5,so good i had to share! check out all the items i'm loving on #poshmark #fashion #style #shopmycloset #cloudchaser #jcrew #jcrewfactory:,0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,1,FALSE
7,rt : the duck #cloudchaser #thephotohour #stormhour #skyphoto #nature #naturephotography #clouds #beautifuldestinations #l,0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,1,FALSE
9,rt : buy get free snowwolf fuel cell mini w pod device -- $8.88 &amp; you get of these kits!! #vapecommunity,0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,1,FALSE
11,warning + usual vapers morning #tits #on #couch click on the video for full clip,0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,1,FALSE
13,say hi to argus z ! believe me you will love it in your daily vaping life! #voopoo #argusz #voopoolive #vapewithvoopoo #vapers #ukvaper #ukvaping #vapinguk #vapeshop #vapenation #vapelife #quitsmokingtoday,0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,1,FALSE
14,"the shopping festival is approaching, what are your shopping plans? #vapelife #vapenation #vapeporn #vapeon #vapefam #vapecommunity #vapelyfe",0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,0.816229692,FALSE
16,life is what happens when you're busy making other plans. welcome oem disposable podstarstonevapor.sally.com #disposablevape#vape #vapelife #vapenation #vapeon #vapelyfer #elfbar #lb5000 #hyde #fume #fumeextra #extra #fume #fumedisposables #disposables #smoke,0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,1,FALSE
17,a delicious smooth custard base with a handful of fresh picked tangy and sweet blueberry &amp; blended in. a stunning all day flavor packed vape. #ukvaporwaves #vapeuk #vapor #vaping #vapers #eliquid #eliquiduk #vapejuice #vape,0,0_vape_vapefam_vapelife_vapecommunity,vape - vapefam - vapelife - vapecommunity - vaping - vapedaily - disposable - vapenation - vapelove - vapers,0.96514493,FALSE
