state,country
England,GBR
Nairobi Area,KEN
NA,KEN
Chiang Mai,THA
Florida,USA
Victoria,AUS
Rhode Island,USA
Missouri,USA
Zacatecas,MEX
NA,RWA
Nairobi Area,KEN
Nairobi Area,KEN
NA,KEN
Ontario,CAN
Alberta,CAN
NA,NA
Louisiana,USA
Maryland,USA
Missouri,USA
NA,GBR
Rhode Island,USA
NA,CHE
Victoria,AUS
Nairobi Area,KEN
Nairobi Area,KEN
Maryland,USA
Massachusetts,USA
Massachusetts,USA
New York,USA
Minnesota,USA
Ohio,USA
Missouri,USA
Minnesota,USA
NA,CAN
NA,CAN
Minnesota,USA
Nairobi Area,KEN
Arkansas,USA
Louisiana,USA
Jalisco,MEX
New York,USA
Michigan,USA
Latakia,SYR
NA,ITA
Baja California,MEX
Pennsylvania,USA
Gauteng,ZAF
NA,NA
Nairobi Area,KEN
Guangdong,CHN
Nairobi Area,KEN
Nairobi Area,KEN
Dubai,ARE
NA,ARE
NA,ESP
NA,GEO
South Australia,AUS
Nairobi Area,KEN
Maryland,USA
England,GBR
Nairobi Area,KEN
NA,RUS
NA,GBR
Ontario,CAN
North Dakota,USA
North Dakota,USA
Nairobi Area,KEN
West Virginia,USA
Victoria,AUS
Ontario,CAN
British Columbia,CAN
NA,AUS
Arkansas,USA
Texas,USA
Demerara-Mahaica,GUY
Texas,USA
Arizona,USA
British Columbia,CAN
Texas,USA
Mombasa,KEN
Oklahoma,USA
NA,THA
Seoul,KOR
NA,GBR
NA,THA
Iowa,USA
Gauteng,ZAF
Scotland,GBR
NA,GBR
NA,THA
NA,CAN
NA,NA
Coahuila,MEX
Connaught,IRL
Nairobi Area,KEN
Gauteng,ZAF
NA,THA
Nairobi Area,KEN
Nairobi Area,KEN
California,USA
Wales,GBR
NA,CIV
Colorado,USA
Western Visayas,PHL
Trnavský,SVK
NA,DEU
NA,URY
Massachusetts,USA
Wyoming,USA
Victoria,AUS
Beijing,CHN
Nairobi Area,KEN
Victoria,AUS
Chon Buri,THA
Munster,IRL
Delta,NGA
Wales,GBR
Auckland,NZL
Quebec,CAN
Atlántico,COL
NA,GEO
NA,CAN
California,USA
Monseñor Nouel,DOM
NA,THA
NA,TON
Central,FJI
Nairobi Area,KEN
Stockholm,SWE
Florida,USA
Nairobi Area,KEN
NA,ZAF
Nairobi Area,KEN
Gauteng,ZAF
Gauteng,ZAF
Gauteng,ZAF
England,GBR
NA,GBR
Missouri,USA
Maryland,USA
Nairobi Area,KEN
Nairobi Area,KEN
New York,USA
Nairobi Area,KEN
Minnesota,USA
Minnesota,USA
NA,NA
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Pennsylvania,USA
Missouri,USA
Pennsylvania,USA
Lagos,NGA
NA,DEU
Nairobi Area,KEN
Nairobi Area,KEN
Illinois,USA
Florida,USA
Minnesota,USA
Wyoming,USA
Minnesota,USA
NA,JPN
Nairobi Area,KEN
Nairobi Area,KEN
NA,PRT
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
NA,JPN
Nairobi Area,KEN
Minnesota,USA
Nairobi Area,KEN
Nairobi Area,KEN
Florida,USA
Nairobi Area,KEN
Greater Accra,GHA
Nairobi Area,KEN
Victoria,AUS
Nairobi Area,KEN
Western Australia,AUS
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
NA,MAR
NA,BDI
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Texas,USA
Nairobi Area,KEN
Colorado,USA
Nairobi Area,KEN
NA,PRT
Michigan,USA
Gauteng,ZAF
Nairobi Area,KEN
England,GBR
Montana,USA
Nebraska,USA
Nairobi Area,KEN
NA,LKA
Aquitaine-Limousin-Poitou-Charentes,FRA
Michigan,USA
North Dakota,USA
NA,CAN
Connecticut,USA
NA,VIR
England,GBR
NA,NLD
Victoria,AUS
Coahuila,MEX
Kentucky,USA
Oregon,USA
Texas,USA
NA,VIR
New York,USA
NA,RUS
Sardinia,ITA
Ohio,USA
NA,CAN
Kentucky,USA
Tamaulipas,MEX
Bicol,PHL
Ontario,CAN
Nairobi Area,KEN
Nairobi Area,KEN
Victoria,AUS
NA,JPN
NA,KEN
Nairobi Area,KEN
Victoria,AUS
Île-de-France,FRA
Quebec,CAN
NA,NA
Connecticut,USA
Texas,USA
Nairobi Area,KEN
NA,DEU
Louisiana,USA
Lombardy,ITA
Ohio,USA
Scotland,GBR
Mississippi,USA
Victoria,AUS
Nairobi Area,KEN
Central Region,UGA
Massachusetts,USA
Ohio,USA
New York,USA
British Columbia,CAN
Maryland,USA
Texas,USA
Alabama,USA
South Australia,AUS
NA,ISR
NA,CAN
Nairobi Area,KEN
Nairobi Area,KEN
NA,ESP
Guerrero,MEX
England,GBR
NA,KEN
NA,NA
Texas,USA
Texas,USA
North Carolina,USA
NA,CAN
Moscow,RUS
NA,NA
NA,DEU
Dubai,ARE
New York,USA
Michigan,USA
NA,GBR
Chihuahua,MEX
New York,USA
Wyoming,USA
NA,NA
New York,USA
New York,USA
Mombasa,KEN
Mombasa,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
Aquitaine-Limousin-Poitou-Charentes,FRA
Nairobi Area,KEN
NA,NA
Missouri,USA
Dubai,ARE
Nairobi Area,KEN
Leinster,IRL
Gauteng,ZAF
Gauteng,ZAF
NA,ZWE
Massachusetts,USA
Nairobi Area,KEN
Louisiana,USA
Louisiana,USA
Illinois,USA
Illinois,USA
NA,NGA
England,GBR
NA,UKR
NA,UKR
NA,UKR
Oregon,USA
NA,EGY
NA,EGY
NA,NA
NA,ECU
Wisconsin,USA
Texas,USA
Texas,USA
Chiapas,MEX
Michigan,USA
New York,USA
Auckland,NZL
Victoria,AUS
Victoria,AUS
NA,ESP
England,GBR
Nairobi Area,KEN
Nairobi Area,KEN
NA,THA
NA,NA
Balearic Islands,ESP
NA,GBR
NA,THA
Kentucky,USA
Utah,USA
Atlántico,COL
Leinster,IRL
Vermont,USA
New York,USA
Ontario,CAN
NA,THA
Texas,USA
Connecticut,USA
Arizona,USA
Wellington,NZL
British Columbia,CAN
New York,USA
NA,NA
NA,AUS
Victoria,AUS
Sindh,PAK
Florida,USA
California,USA
New York,USA
New York,USA
Minnesota,USA
NA,THA
Canterbury,NZL
New York,USA
New York,USA
Provence-Alpes-Côte d'Azur,FRA
NA,NA
Nairobi Area,KEN
KwaZulu-Natal,ZAF
New York,USA
New South Wales,AUS
New South Wales,AUS
Hyōgo,JPN
Nairobi Area,KEN
Leinster,IRL
NA,GBR
NA,THA
NA,GBR
Nairobi Area,KEN
Florida,USA
California,USA
California,USA
New York,USA
NA,CAN
New York,USA
South Carolina,USA
Nairobi Area,KEN
Victoria,AUS
Oklahoma,USA
Oregon,USA
New York,USA
Pennsylvania,USA
Tennessee,USA
Victoria,AUS
Oregon,USA
Massachusetts,USA
Oregon,USA
Victoria,AUS
Oregon,USA
NA,CAN
NA,CAN
New York,USA
Florida,USA
Florida,USA
NA,ESP
NA,PRT
Lima region,PER
New York,USA
Oregon,USA
Nairobi Area,KEN
New South Wales,AUS
New York,USA
Gauteng,ZAF
Oregon,USA
New York,USA
NA,RUS
Ontario,CAN
Kentucky,USA
Kentucky,USA
Gauteng,ZAF
NA,GBR
NA,CAN
Northern Territory,AUS
British Columbia,CAN
Nevada,USA
Veneto,ITA
Atlántico,COL
Victoria,AUS
Washington,USA
Oklahoma,USA
Oregon,USA
Oregon,USA
NA,THA
England,GBR
Illinois,USA
Illinois,USA
Kwale,KEN
La Paz,HND
Oregon,USA
Andalusia,ESP
Gauteng,ZAF
Oregon,USA
NA,THA
South Carolina,USA
NA,VIR
New Jersey,USA
Nairobi Area,KEN
Nairobi Area,KEN
Gauteng,ZAF
Île-de-France,FRA
NA,GBR
North Carolina,USA
NA,CAN
NA,CAN
Louisiana,USA
NA,AUS
Madrid,ESP
Primorsko-Goranska,HRV
NA,JPN
California,USA
Louisiana,USA
NA,AUS
Latium,ITA
NA,CAN
NA,GEO
England,GBR
North Carolina,USA
Tennessee,USA
Wallonia,BEL
Ashanti,GHA
NA,SGP
North Holland,NLD
NA,KEN
Nairobi Area,KEN
Minnesota,USA
Ohio,USA
Quebec,CAN
Gauteng,ZAF
Southland,NZL
NA,GBR
NA,GBR
New York,USA
New York,USA
Metro Manila,PHL
NA,DEU
NA,KOR
Valencia,ESP
Madhya Pradesh,IND
NA,JPN
Victoria,AUS
NA,THA
Queensland,AUS
NA,CAN
Lisbon,PRT
New York,USA
Nairobi Area,KEN
Michigan,USA
NA,GBR
Liguria,ITA
Nairobi Area,KEN
Nairobi Area,KEN
Louisiana,USA
NA,AUS
Rhode Island,USA
New South Wales,AUS
Alabama,USA
NA,CAN
New York,USA
Nairobi Area,KEN
Scotland,GBR
KwaZulu-Natal,ZAF
Kentucky,USA
New South Wales,AUS
Maryland,USA
NA,POL
Jakarta,IDN
Nairobi Area,KEN
Nairobi Area,KEN
NA,KEN
Auckland,NZL
NA,URY
Gauteng,ZAF
NA,JPN
NA,LKA
Louisiana,USA
Minnesota,USA
Mtwara,TZA
Pennsylvania,USA
NA,SGP
New York,USA
NA,RUS
NA,QAT
Massachusetts,USA
Nairobi Area,KEN
Nayarit,MEX
NA,BEL
Sinaloa,MEX
Gauteng,ZAF
Gauteng,ZAF
NA,CHL
Nevada,USA
NA,CAN
Bulawayo,ZWE
NA,ECU
New South Wales,AUS
Texas,USA
Madrid,ESP
Colorado,USA
Oregon,USA
NA,DEU
Missouri,USA
Maryland,USA
NA,THA
South Australia,AUS
South Australia,AUS
NA,GUY
Minnesota,USA
NA,NA
NA,NA
Victoria,AUS
Mombasa,KEN
NA,THA
North Holland,NLD
Louisiana,USA
NA,GBR
Riga,LVA
Oklahoma,USA
Wyoming,USA
North Carolina,USA
NA,CAN
Nyeri,KEN
Nairobi Area,KEN
NA,GBR
NA,DEU
NA,DEU
Nairobi Area,KEN
NA,DEU
Nairobi Area,KEN
Yamagata,JPN
Nairobi Area,KEN
Nairobi Area,KEN
Nairobi Area,KEN
NA,SGP
Tennessee,USA
Louisiana,USA
Nairobi Area,KEN
Saipan,MNP
NA,GBR
Idaho,USA
Puebla,MEX
Nairobi Area,KEN
Puebla,MEX
Victoria,AUS
Nairobi Area,KEN
Gauteng,ZAF
Louisiana,USA
NA,KEN
Nairobi Area,KEN
Michigan,USA
NA,AUS
Western Visayas,PHL
NA,GBR
Nairobi Area,KEN
NA,KEN
Nairobi Area,KEN
Maryland,USA
New York,USA
Illinois,USA
Puebla,MEX
New South Wales,AUS
NA,TUR
Ohio,USA
Idaho,USA
Tennessee,USA
Wyoming,USA
NA,THA
England,GBR
Idaho,USA
Missouri,USA
Victoria,AUS
Arkansas,USA
Bangkok,THA
Victoria,AUS
NA,AUS
Navarre,ESP
Indiana,USA
Oregon,USA
Missouri,USA
Missouri,USA
NA,RUS
Michigan,USA
Capital Region,DNK
Oslo,NOR
Oklahoma,USA
Oklahoma,USA
Massachusetts,USA
Northern Cape,ZAF
Groningen,NLD
Victoria,AUS
NA,GBR
New South Wales,AUS
NA,ESP
Louisiana,USA
Đồng Nai,VNM
Texas,USA
North Holland,NLD
New York,USA
New York,USA
Ohio,USA
Puebla,MEX
NA,CAN
Valle del Cauca,COL
Assam,IND
Minnesota,USA
NA,DEU
Massachusetts,USA
England,GBR
England,GBR
NA,JPN
New York,USA
NA,THA
Rhode Island,USA
NA,VIR
New York,USA
England,GBR
South Carolina,USA
Maryland,USA
Nairobi Area,KEN
Mississippi,USA
Nairobi Area,KEN
Santa Fe Province,ARG
Louisiana,USA
NA,AUS
Victoria,AUS
Victoria,AUS
Michigan,USA
Valle del Cauca,COL
New York,USA
Rhode Island,USA
New York,USA
Khulna,BGD
Rangpur Division,BGD
Rangpur Division,BGD
NA,THA
Chon Buri,THA
Gauteng,ZAF
NA,DEU
NA,DEU
NA,SAU
England,GBR
Missouri,USA
Maryland,USA
Indiana,USA
Nairobi Area,KEN
NA,PRT
NA,ESP
NA,CAN
NA,CAN
South Carolina,USA
Maryland,USA
Cojedes,VEN
New York,USA
Île-de-France,FRA
Minnesota,USA
NA,GEO
Missouri,USA
Manitoba,CAN
Western Australia,AUS
Western Australia,AUS
Punjab,PAK
Nevada,USA
Nevada,USA
Gauteng,ZAF
East Kazakhstan,KAZ
NA,USA
Kansas,USA
Victoria,AUS
Nairobi Area,KEN
Michigan,USA
NA,GBR
England,GBR
New York,USA
New York,USA
New York,USA
NA,NA
New York,USA
Texas,USA
British Columbia,CAN
Michigan,USA
Ontario,CAN
New Jersey,USA
Oklahoma,USA
NA,KOR
Eastern Cape,ZAF
Indiana,USA
Nairobi Area,KEN
Maharashtra,IND
Colorado,USA
Indiana,USA
Connecticut,USA
Ontario,CAN
Puebla,MEX
Gauteng,ZAF
Gauteng,ZAF
Victoria,AUS
Nairobi Area,KEN
Queensland,AUS
NA,AUS
Gauteng,ZAF
England,GBR
Gauteng,ZAF
NA,ALB
NA,ISR
Texas,USA
NA,URY
Phú Thọ,VNM
Aquitaine-Limousin-Poitou-Charentes,FRA
Sonora,MEX
Gauteng,ZAF
Georgia,USA
New Mexico,USA
NA,GBR
NA,GBR
NCT,IND
New South Wales,AUS
Minas Gerais,BRA
England,GBR
California,USA
California,USA
New York,USA
NA,VIR
NA,CAN
New York,USA
New South Wales,AUS
NA,URY
Nairobi Area,KEN
Nairobi Area,KEN
NA,AUS
New South Wales,AUS
New South Wales,AUS
New South Wales,AUS
England,GBR
Punjab,PAK
Punjab,PAK
NA,GBR
Texas,USA
NA,THA
NA,GBR
Massachusetts,USA
NA,ISR
New York,USA
New York,USA
NA,CAN
North Dakota,USA
North Dakota,USA
NA,ESP
NA,UKR
Wisconsin,USA
NA,GBR
Arkansas,USA
New York,USA
Arkansas,USA
New York,USA
Puebla,MEX
Minnesota,USA
Nevada,USA
Wyoming,USA
Connecticut,USA
Connaught,IRL
Quebec,CAN
Nuevo León,MEX
Brittany,FRA
Quebec,CAN
NA,THA
Florida,USA
Saint Michael,BRB
Nairobi Area,KEN
NA,COL
Victoria,AUS
Victoria,AUS
Connecticut,USA
South Australia,AUS
Quebec,CAN
Saskatchewan,CAN
NA,NA
México,MEX
Victoria,AUS
NA,DEU
NA,DEU
NA,FRA
Saxony,DEU
NA,DEU
NA,GBR
Nairobi Area,KEN
Western Australia,AUS
NA,GBR
Nairobi Area,KEN
Kisii,KEN
Georgia,USA
Nairobi Area,KEN
NA,GBR
Texas,USA
Arkansas,USA
Gauteng,ZAF
NA,ISR
Trnavský,SVK
Missouri,USA
Missouri,USA
Michigan,USA
Michigan,USA
NA,GBR
New York,USA
Minnesota,USA
New York,USA
New York,USA
Connecticut,USA
Gauteng,ZAF
Gauteng,ZAF
NA,CHL
NA,VNM
Connecticut,USA
Louisiana,USA
Florida,USA
Illinois,USA
Nairobi Area,KEN
KwaZulu-Natal,ZAF
Wellington,NZL
New South Wales,AUS
England,GBR
New Jersey,USA
California,USA
Leinster,IRL
Nairobi Area,KEN
Wyoming,USA
Wyoming,USA
NA,RUS
NA,RUS
Moscow,RUS
NA,RUS
NA,RUS
Missouri,USA
Moscow,RUS
Louisiana,USA
NA,RUS
NA,NA
NA,RUS
Moscow,RUS
Texas,USA
NA,RUS
Florida,USA
NA,VIR
Louisiana,USA
Brittany,FRA
Alaska,USA
NA,RUS
Nairobi Area,KEN
NA,RUS
Louisiana,USA
Wyoming,USA
NA,NA
Wyoming,USA
Louisiana,USA
NA,RUS
New South Wales,AUS
Connecticut,USA
Oregon,USA
Moscow,RUS
NA,RUS
NA,RUS
Wyoming,USA
NA,RUS
NA,RUS
New York,USA
NA,RUS
Veracruz,MEX
NA,RUS
Louisiana,USA
NA,RUS
NA,RUS
NA,RUS
Gauteng,ZAF
Iowa,USA
New York,USA
Vermont,USA
Gauteng,ZAF
NA,RUS
NA,THA
NA,RUS
NA,RUS
New South Wales,AUS
NA,RUS
NA,ARE
Moscow,RUS
Moscow Oblast,RUS
NA,GBR
Louisiana,USA
NA,RUS
NA,RUS
Gauteng,ZAF
Quebec,CAN
NA,CAN
NA,NA
Connecticut,USA
NA,RUS
NA,RUS
NA,RUS
NA,RUS
NA,CAN
Nairobi Area,KEN
Nairobi Area,KEN
NA,NZL
Michigan,USA
New York,USA
Delaware,USA
Kansas,USA
Missouri,USA
Texas,USA
Ontario,CAN
NA,RUS
NA,RUS
New York,USA
England,GBR
Ontario,CAN
Ontario,CAN
NA,CAN
Connecticut,USA
Arizona,USA
NA,CUW
Oregon,USA
NA,RUS
Auckland,NZL
New York,USA
Gauteng,ZAF
Gauteng,ZAF
Gauteng,ZAF
Gauteng,ZAF
Berea,LSO
Northern Ireland,GBR
Rhode Island,USA
Quintana Roo,MEX
Maharashtra,IND
Florida,USA
NA,CAN
NA,GRC
Nairobi Area,KEN
NA,KEN
Nairobi Area,KEN
Leinster,IRL
Wyoming,USA
NA,FRA
Ontario,CAN
Connecticut,USA
Connecticut,USA
Kansas,USA
Missouri,USA
New York,USA
Michigan,USA
NA,RUS
Victoria,AUS
Colorado,USA
Victoria,AUS
Tasmania,AUS
NA,THA
Veracruz,MEX
Nairobi Area,KEN
Florida,USA
Nairobi Area,KEN
South Australia,AUS
New South Wales,AUS
Gauteng,ZAF
North Kalimantan,IDN
Florida,USA
Bioko Norte,GNQ
NA,GNQ
Louisiana,USA
Louisiana,USA
NA,DEU
Illinois,USA
Pennsylvania,USA
Gauteng,ZAF
NA,KEN
NA,KEN
Nairobi Area,KEN
Victoria,AUS
Victoria,AUS
Louisiana,USA
Arizona,USA
Pennsylvania,USA
Pennsylvania,USA
Nairobi Area,KEN
Alaska,USA
NA,THA
NA,RUS
Aquitaine-Limousin-Poitou-Charentes,FRA
Western Australia,AUS
NA,ZAF
England,GBR
Ontario,CAN
New South Wales,AUS
NA,USA
New York,USA
Nairobi Area,KEN
Quebec,CAN
Bourgogne-Franche-Comté,FRA
NA,GBR
KwaZulu-Natal,ZAF
Ohio,USA
Valle del Cauca,COL
New South Wales,AUS
Maryland,USA
New York,USA
Massachusetts,USA
NA,NA
Michigan,USA
Kansas,USA
Gauteng,ZAF
Victoria,AUS
Connecticut,USA
New Hampshire,USA
Queensland,AUS
Cojedes,VEN
NA,CAN
Louisiana,USA
NA,RUS
NA,ARM
New South Wales,AUS
Nairobi Area,KEN
New Jersey,USA
Illinois,USA
New York,USA
Aguascalientes,MEX
Guanacaste,CRI
New Jersey,USA
Nairobi Area,KEN
NA,NA
NA,UKR
Massachusetts,USA
Quebec,CAN
Tennessee,USA
NA,IRQ
Colorado,USA
Victoria,AUS
NA,NA
Gaza,MOZ
Minnesota,USA
Queensland,AUS
Oregon,USA
Oregon,USA
Campeche,MEX
Queensland,AUS
NA,AUS
Leinster,IRL
Nairobi Area,KEN
Nairobi Area,KEN
Leinster,IRL
Nairobi Area,KEN
NA,KEN
Machakos,KEN
NA,KEN
Nairobi Area,KEN
NA,CAN
Minnesota,USA
NA,GBR
Massachusetts,USA
Texas,USA
NA,NGA
Connecticut,USA
Massachusetts,USA
Nairobi Area,KEN
Madrid,ESP
NA,PRI
NA,CAN
Texas,USA
Florida,USA
Ohio,USA
NA,THA
Colorado,USA
Nevada,USA
Maryland,USA
Texas,USA
Queensland,AUS
Punjab,PAK
England,GBR
NA,SSD
NA,PHL
NA,PHL
NA,PHL
Gauteng,ZAF
Queensland,AUS
Texas,USA
Massachusetts,USA
Gauteng,ZAF
Gauteng,ZAF
Lombardy,ITA
Ontario,CAN
Ontario,CAN
NA,KEN
NA,MMR
Louisiana,USA
Louisiana,USA
NA,DEU
New York,USA
Colorado,USA
Southern Region,MWI
Alabama,USA
Ontario,CAN
New York,USA
Georgia,USA
NA,CAN
Kajiado,KEN
New York,USA
Maryland,USA
England,GBR
NA,JPN
NA,JPN
Tennessee,USA
NA,JPN
NA,NA
Leinster,IRL
Tennessee,USA
Tennessee,USA
New Jersey,USA
New Jersey,USA
New York,USA
England,GBR
Quebec,CAN
Newfoundland and Labrador,CAN
Idaho,USA
Île-de-France,FRA
New York,USA
NA,RUS
New York,USA
NA,SGP
Scotland,GBR
New Jersey,USA
Harare,ZWE
NA,CAN
New South Wales,AUS
Vienna,AUT
New Jersey,USA
Nairobi Area,KEN
Nairobi Area,KEN
New York,USA
England,GBR
England,GBR
England,GBR
England,GBR
England,GBR
NA,ECU
Alabama,USA
Tennessee,USA
Oaxaca,MEX
Pennsylvania,USA
Massachusetts,USA
NA,CAN
New York,USA
NA,RUS
NA,RUS
Massachusetts,USA
Wyoming,USA
Nevada,USA
Wyoming,USA
England,GBR
NA,AUS
Kentucky,USA
Wyoming,USA
England,GBR
Vermont,USA
Nairobi Area,KEN
Andalusia,ESP
Louisiana,USA
NA,MEX
Gauteng,ZAF
Victoria,AUS
Gauteng,ZAF
Queensland,AUS
Catalonia,ESP
Canary Islands,ESP
New York,USA
Northland Region,NZL
Northland Region,NZL
NA,ECU
Nevada,USA
Illinois,USA
New York,USA
Oregon,USA
Vermont,USA
Maine,USA
Michigan,USA
Nairobi Area,KEN
NA,ZAF
Oklahoma,USA
Oklahoma,USA
New York,USA
Chiang Mai,THA
Nairobi Area,KEN
NA,IRQ
California,USA
New York,USA
Lisbon,PRT
California,USA
NA,URY
Nairobi Area,KEN
NA,PRT
Nairobi Area,KEN
Ohio,USA
New York,USA
Nevada,USA
Victoria,AUS
Queensland,AUS
Phuket,THA
NA,THA
Phuket,THA
Phuket,THA
Wyoming,USA
British Columbia,CAN
Atlántico,COL
North Holland,NLD
Nairobi Area,KEN
Nairobi Area,KEN
California,USA
Georgia,USA
NA,GEO
NA,VIR
NA,VIR
Washington,USA
Tennessee,USA
South Carolina,USA
Illinois,USA
Illinois,USA
NA,CAN
Oklahoma,USA
Oklahoma,USA
Arizona,USA
Western Australia,AUS
Nairobi Area,KEN
Victoria,AUS
Nairobi Area,KEN
Kerala,IND
NA,AUS
Aosta Valley,ITA
Gauteng,ZAF
Massachusetts,USA
Nairobi Area,KEN
Massachusetts,USA
Ontario,CAN
Pennsylvania,USA
NA,ZAF
NA,AUS
Nairobi Area,KEN
New York,USA
New York,USA
British Columbia,CAN
Catalonia,ESP
New York,USA
Virginia,USA
New York,USA
New York,USA
Tamil Nadu,IND
Vermont,USA
NA,ZAF
Karnataka,IND
Karnataka,IND
Upper West,GHA
Wales,GBR
Wales,GBR
Wales,GBR
Wales,GBR
Wales,GBR
Wales,GBR
Limpopo,ZAF
New York,USA
New York,USA
Emilia-Romagna,ITA
NA,GEO
NA,CAN
Michigan,USA
New York,USA
New York,USA
Washington,USA
Ontario,CAN
New Jersey,USA
Michigan,USA
NA,GBR
Texas,USA
New York,USA
New York,USA
New York,USA
Michigan,USA
NA,UKR
Nairobi Area,KEN
NA,KEN
South Carolina,USA
Neuchâtel,CHE
South Carolina,USA
Phuket,THA
Phuket,THA
Louisiana,USA
Louisiana,USA
NA,NA
NA,THA
NA,KOR
NA,JPN
NA,MYS
Connecticut,USA
KwaZulu-Natal,ZAF
England,GBR
Virginia,USA
New Jersey,USA
New York,USA
Cuando Cobango,AGO
Zulia,VEN
Massachusetts,USA
England,GBR
NA,THA
England,GBR
England,GBR
NA,GBR
Uttar Pradesh,IND
California,USA
Alaska,USA
NA,CAN
Canterbury,NZL
Kansas,USA
Kansas,USA
Kansas,USA
Chon Buri,THA
Massachusetts,USA
NA,THA
NA,KOR
Harare,ZWE
Bulawayo,ZWE
Harare,ZWE
Harare,ZWE
England,GBR
Maharashtra,IND
Madhya Pradesh,IND
NA,CAN
Connecticut,USA
Connecticut,USA
Connecticut,USA
NA,CAN
Michigan,USA
Valle del Cauca,COL
NA,VIR
NA,FRA
Lagos,NGA
Illinois,USA
Lagos,NGA
Al-Qassim,SAU
Wales,GBR
Wales,GBR
Wales,GBR
Wales,GBR
Wales,GBR
Wales,GBR
Lagos,NGA
Nairobi Area,KEN
Lagos,NGA
Lagos,NGA
Pennsylvania,USA
Lagos,NGA
