,Document,Topic,Name,Top_n_words,Probability,Representative_document
31,"rt : ""glamorous"" officer rasvinder agalliu found with class a #drugs, a #cannabis farm and a large quantity of cash. n",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.834755452,FALSE
101,rt : atm bombers arrested this morning primrose cbd well done saps and all involved,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
273,"ndlea uncovers, destroys cannabis sativa farm in ire ekiti",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.677796531,FALSE
531,"a man, aged , has been arrested following a successful drugs warrant in #telford this morning (friday nov). officers carried out the warrant in #ketley, where they found evidence of a recent cannabis cultivation. read more here:",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
549,police say he was an established cannabis dealer,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
609,sligo man caught with over k of cannabis given suspended sentence -,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
633,"tomasz waga, , was allegedly murdered by members of an albanian drugs gang after he burgled a cannabis factory in cardiff",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.597493916,FALSE
722,rt : video shows officers celebrating their seizure of tons of cannabis sativa from the warehouse of a c,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.81106836,FALSE
750,rt : renton police are trying to id two armed robbery suspects who held up the smoke and vapor at rainier ave s last thu,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
828,"agentes de la policia local de marchena intervinieron ms de un kilo y medio de marihuana y casi gramos de hachs en la tarde del viernes en un club de cannabis en marchena, ubicado en un polgonoindustrial, deteniendo a una persona como presunto",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.977266361,FALSE
903,officers carried out drug searches warrants at neighbouring properties in balunie ave #dundee this morning. a -year-old woman has been arrested after worth of cannabis was recovered. enquiries ongoing. if you are concerned about drugs in your local area call .,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
1050,"rt : 'action on illegal transportation through railways"".. under #operationnarcos recovered kg (approx) cannabis (ganja) from a",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.797092557,FALSE
1093,three arrested after cannabis farm found in birkenhead warehouse,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
1138,"christian kuta-dankwa, , travelled to edgware where he saw mohamoud mohamed mahdi dealing cannabis. he thought mahdi was dealing ""on his strip."" in the ensuing fight mahdi was stabbed to death three times in the back. he was found guilty of murder.",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.500799982,FALSE
1142,state police arrest two in wilton for possessing pounds of cannabis,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
1152,albanian drug dealer who entered country illegally and was caught with knife and of cannabis is jailed for a year,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
1363,rt : a witness took this video of danny lim being handcuffed by officers in the cbd this morning.,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
1396,rt : suspect held after chinese nationals killed at us cannabis farm,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
1398,suspect held after four chinese nationals killed at us cannabis farm #hennessey #uscannabisfarmmurders #oklahomaquadruplehomicide #kingfishercounty #southend #usnews #knutsford #unitedstates,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
1639,las vestidas de policia se fumaron el cannabis,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.623629822,FALSE
1769,guyana police destroy more than half a billion dollars in cannabis - st vincent times #cannabisnews,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
1810,famagusta man arrested for cannabis possession | cyprus mail,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
1877,"#cannabiscommunity #marijuana #cannabis taiwanese, indonesians indicted for largest marijuana seizure in taiwans history | taiwan news taipei (taiwan news) eight suspects, including two",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.555454525,FALSE
2098,"drug dealer held with cannabis in kurigram a drug dealer was arrested at phulbari upazila in kurigram district early friday.the arrested was siam, son of harunur rashid, a resident of balatari village",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2104,two men have been charged after police discovered a cannabis farm in willenhall town centre.,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2199,#cannabis #marijuana #thc #cannabiscommunity man accused of illegal possession of firearm and marijuana a man was arrested on suspicion of illegally possessing a firearm and possessing more than the legal limit of marijuana on,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2232,monticello man arrested cbd gummies from store clerk - mid hudson news #cannabis #marijuana,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2282,cannabis farm found inside middleton home with drugs warrant,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2292,police operation sees arrests and nearly m of cannabis seized:,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2351,man (20s) due in court after cannabis worth k seized in co kilkenny,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2413,developing: a third suspect will face court today accused of gang raping two women in a cbd carpark. the latest in news adelaide at pm and pm | #7news,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.975243886,FALSE
2712,local law enforcement agencies are outnumbered and outgunned. two sheriffs deputies are assigned to cannabis enforcement only one of them full time in an area larger than delaware.,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.650562051,FALSE
2766,"sujeto que fue detenido en #puertonatales por la brigada antinarcticos, con ms de kilos de cannabis sativa, fue formalizado y enviado a prisin preventiva. nota:",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2813,"the statement reads, in the same vein, parcels of cannabis weighing kgs concealed in sound systems (speakers) going to malabo, equatorial guinea through the sahco export shed of the airport were also seized on thursday th december by the operatives who initially arrested a",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2856,rt : seventh arrest: a yo alberton boy the latest to be charged over a horrific cbd gang rape. hes facing two counts of rape.,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2914,"incautaron cuatro bolsas repletas de marihuana en una zona de monte en san pedro en operativos de prevencin en zona rural, la polica secuestr kilogramos de cannabis sativa que estn distribuidos en cuatro bolsas arpilleras",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
2954,"rt : male arrested following a stop check near the cleddau bridge this morning, for providing a positive drug wipe for cannabis an",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
3086,"#cannabis #marijuana #thc #cannabiscommunity p333,000 marijuana seized in central luzon manila bulletin news / luzon / p333,000 marijuana seized in central luzon p333,000 marijuana seized in central luzon camp olivas, city of san",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
3115,"rt : detectives de la brigada antinarcticos temuco incautaron $7millones de pesos, ms de mil dosis de cannabis y mil de",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
3247,in a successful drive towards #neshamukttripura recovered dry cannabis weighing approx kgs from a container vehicle and arrested two persons. #tripurapolice #sevaveertabandhuta,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.744346515,FALSE
3341,"iraq on sunday burnt some six tons of illegal drugs including vast piles of cannabis, captagon and cocaine, in what officials said was the largest destruction for over a decade.",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.61810214,FALSE
3430,"five nepali nationals held for allegedly selling cannabis in kerala, india",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.644135358,FALSE
3537,man arrested in newry after police seize cannabis via,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
3557,"#cannabiscommunity #marijuana #cannabis -year-old arrested for giving marijuana edible to student newberry county, s.c. (wspa) a -year-old was arrested monday for distributing a marijuana edible to another student. the newberry county",2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
3605,rt : #sapsec five male suspects were arrested in king williams town cbd today during operation vala konke for dealing in da,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
3684,#cannabis #marijuana #thc #cannabiscommunity marijuana farmer wanted by several states arrested by mumbai police | mumbai news mumbai: a farmer engaged in marijuana farming on the maharashtra- madhya pradesh border and supplying it to sellers in different,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,0.817838793,FALSE
3688,rt : a drug dealer has been jailed after being found in possession of more than worth of cannabis and a knuckleduster. h,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,FALSE
3717,rt : detectives have arrested a -year-old man and seized suspected cannabis worth million following an operation in be,2,2_arrested_police_seized_man,arrested - police - seized - man - farm - marijuana - ndlea - two - worth - found,1,TRUE
