,Document,Topic,Name,Top_n_words,Probability,Representative_document
0,"rt : #giveaway #caliburna3 the bunch has wonderful textured and cool functioning, featuring the caliburn a series. tell us what",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.87587155,FALSE
6,night show,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.86832417,FALSE
8,fresh all day long #uwell #uwelltech #caliburna #vapedaily #vapetime #vapefam #vapelove #caliburna3 only for adults(21+).,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.839508824,FALSE
10,"rt : #caliburna3 shhhh, just enjoy this caliburn a3 oil injection in silence. hopefully, it will take you to a whole new world",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.87587155,FALSE
11,rt : which one do you want to stay with you tonight? #uwell #uwelltech ##cravat #vapedaily #vapetime #vapefam #vapelove #uw,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.899404675,FALSE
14,rt : #caliburna3 such an interesting product to make you live a wonderful life every day. #uwell #uwelltech #caliburna #vapedai,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.810169825,FALSE
15,"believe in your infinite potential. your only limitations are those you set upon yourself. roy t. bennett, the light in the heart #waterpipe #glassofig #smokeshop #highsociety #glass #waterpipe #glassart #photooftheday",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.748077851,FALSE
16,"rt : #caliburnak3 it's not over yet! this time, it is about presenting an innovative beauty that combines art and technology. g",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.87587155,FALSE
18,can you handle the red white version ageis? leave your comments and let me see how many there are. #geekvp #geekvape #geekup #aegis #aegisl200 #aegism100 #aegismax100 #aegiss100 #aegisb60,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.748680132,FALSE
20,rt : exhale the fragrance for an ultimate treat. come and try the ageism100 #geekvp #geekvape #geekup #aegis #aegism100 https,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.721010168,FALSE
24,"rt : #caliburnak3 shhh, just quietly enjoying this caliburn ak3 out of the box. hope it takes you into a whole new world of rela",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.87587155,FALSE
27,this is a must have for me.,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.722862483,FALSE
28,rt : #caliburnak3 caliburn ak3 keep on keeping on -features logo-shaped light animation and interaction portability and wearabi,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.87587155,FALSE
30,rt : #caliburnak3 meet this e-liquid injection guide that we hope will be helpful to you. #uwell #uwelltech #caliburna #vapedai,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.819975369,FALSE
33,rt : which one do you want to focus on? #uwell #uwelltech #caliburna #vapedaily #vapetime #vapefam #vapelove #caliburna3 #,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,1,FALSE
34,rt : the best thing i can do is to show you products you like. #geekvp #geekvape #geekup #aegis #aegisl200 #aegism100 #aegi,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.721010168,FALSE
35,like the speed,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.715711349,FALSE
38,rt : #caliburntenet which of caliburn's products would you most like to take with you when you travel to the future? to enter:,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.726124245,FALSE
42,rt : awesome competition .,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.722862483,FALSE
43,"(1/2)i think the rugged looking device is an outstanding new style for the new #caliburntenet plus i've missed the haptic feedback that's in the #caliburng2 and you're bringing it back again, how cool!? and the colours... just wow!",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.866787699,FALSE
44,which one would you choose for your night? #uwell #uwelltech #caliburna #vapedaily #vapetime #vapefam #vapelove #caliburna3 #caliburnak3 only for adults(21+).,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,1,FALSE
46,any color seems ideal for any moment,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.838565343,FALSE
51,"big time legend! would love to own one! can i send me a sample to test ,,,",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.696396326,FALSE
52,"rt : although it's the last day, in order to see more of you sharing your opinions, i've decided to extend it to . come an",0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.914888724,FALSE
53,rt : which color would you get? #uwell #uwelltech #caliburna #vapedaily #vapetime #vapefam #vapelove #caliburna3 #caliburnak3 o,0,0_rt_uwell_uwelltech_vapetime,rt - uwell - uwelltech - vapetime - vapelove - vapedaily - vapefam - caliburn - caliburna - caliburna3,0.89108177,TRUE
